nodo,id,tipo,manifiestos,empresa
PECLL,1,PUERTO,1417,None
A GORYU,2,NAVE,22,7770- TRABAJOS MARITIMOS S.A.
A. IDEFIX,3,NAVE,6,5009- TERMINALES PORTUARIOS PERUANOS SAC
A.P.MOLLER,4,NAVE,3,5030- MAERSK LINE PERU S.A.C.
AFRICAN ARROW,5,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
AFRICAN HORNBILL,6,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
AFRICAN LUNDE,7,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
AKADIMOS,8,NAVE,1,5059- MERCATOR PERU - OPERADOR LOGISTICO S.A.C.
ALAM SURIA,9,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
ALBERTITO,10,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
ALEXIA,11,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
ALGOL,12,NAVE,21,5009- TERMINALES PORTUARIOS PERUANOS SAC
ALICANTE KNUTSEN,13,NAVE,2,0217- COSMOS AGENCIA MARITIMA SAC
ALKYONI,14,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
ALLUMER,15,NAVE,1,5075- AERODOC SOCIEDAD ANONIMA CERRADA
ALPAMAYO,16,NAVE,1,0217- COSMOS AGENCIA MARITIMA SAC
ALTAIR SKY,17,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
AMANDA C,18,NAVE,1,5062- CALLS SHIPPING S.A.C.
AMBER ARROW,19,NAVE,1,8264- AGENCIAS UNIVERSALES PERU S.A.
AMSTERDAM EXPRESS,20,NAVE,7,7770- TRABAJOS MARITIMOS S.A.
ANDINO NU,21,NAVE,3,8264- AGENCIAS UNIVERSALES PERU S.A.
ANTIBES EXPRESS,22,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
ANTOFAGASTA EXPRESS,23,NAVE,6,7770- TRABAJOS MARITIMOS S.A.
APL ESPLANADE,24,NAVE,3,5074- IAN TAYLOR AGENCIAS S.A.C.
AQUARIUS LEADER,25,NAVE,1,3453- TRANSMERIDIAN S.A.C.
ARALIA,26,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
ARCTOS,27,NAVE,1,5013- MARITIMA MERCANTIL SOCIEDAD ANONIMA CERRADA
ARIANE MAKARA,28,NAVE,3,5041- TRANSTOTAL AGENCIA MARITIMA S.A.
ARSOS,29,NAVE,1,5061- CITIKOLD DEL PERU S.A.C.
AS ANNE,30,NAVE,6,5074- IAN TAYLOR AGENCIAS S.A.C.
AS SARA,31,NAVE,1,5030- MAERSK LINE PERU S.A.C.
ASIAN TRUST,32,NAVE,1,5074- IAN TAYLOR AGENCIAS S.A.C.
ASL CRYSTAL,33,NAVE,1,5041- TRANSTOTAL AGENCIA MARITIMA S.A.
ATLANTIC OCEAN,34,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
AVANTI,35,NAVE,1,5013- MARITIMA MERCANTIL SOCIEDAD ANONIMA CERRADA
AVRA,36,NAVE,2,7770- TRABAJOS MARITIMOS S.A.
AZALEA GALAXY,37,NAVE,1,5050- EMPRESA MARITIMA B & M S.A.C.
AZTEC,38,NAVE,5,7743- REPRESENTAC.NAVIERAS Y ADUANERAS S.A.C
BALABAC ISLAND,39,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BALLENITA,40,NAVE,3,5074- IAN TAYLOR AGENCIAS S.A.C.
BALTIC PETREL,41,NAVE,17,5009- TERMINALES PORTUARIOS PERUANOS SAC
BALUEIRO,42,NAVE,1,5010- MARITIMA DEL WORLD S.A.C.
BALUEIRO SEGUNDO,43,NAVE,1,5010- MARITIMA DEL WORLD S.A.C.
BANGKOK,44,NAVE,1,5022- COSCO SHIPPING LINES (PERU) S.A.
BARROW ISLAND,45,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BBC ARKHANGELSK,46,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BBC FINLAND,47,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BBC GREENLAND,48,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BBC RAISE,49,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BBC SEBASTOPOL,50,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BBC UTAH,51,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BBG OCEAN,52,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BELSOUTH,53,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BERNINA,54,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BILBAO KNUTSEN,55,NAVE,1,0217- COSMOS AGENCIA MARITIMA SAC
BLACKY,56,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BOCHEM LONDON,57,NAVE,2,5041- TRANSTOTAL AGENCIA MARITIMA S.A.
BOCHEM WALVIS BAY,58,NAVE,4,5041- TRANSTOTAL AGENCIA MARITIMA S.A.
BOLICHE,59,NAVE,1,7770- TRABAJOS MARITIMOS S.A.
BOMAR PRAIA,60,NAVE,2,5074- IAN TAYLOR AGENCIAS S.A.C.
BOSTON HARMONY,61,NAVE,1,5062- CALLS SHIPPING S.A.C.
BOW CONDOR,62,NAVE,19,5050- EMPRESA MARITIMA B & M S.A.C.
BOW HECTOR,63,NAVE,2,7652- SERPAC PORTUARIA S.A.C.
BOW PRECISION,64,NAVE,1,7652- SERPAC PORTUARIA S.A.C.
BOX ENDURANCE,65,NAVE,7,0217- COSMOS AGENCIA MARITIMA SAC
