id_ini,id_fin,containers,viajes,conxviaj
1,2,6634,22,302
1,3,2323,6,387
1,4,4636,3,1545
1,5,1,1,1
1,6,5,1,5
1,7,3,1,3
1,8,394,1,394
1,9,2,1,2
1,10,1,1,1
1,11,2,1,2
1,12,1622,21,77
1,13,2,2,1
1,14,1,1,1
1,15,1,1,1
1,16,1,1,1
1,17,5,1,5
1,18,1,1,1
1,19,78,1,78
1,20,2850,7,407
1,21,6,3,2
1,22,144,1,144
1,23,2279,6,380
1,24,4474,3,1491
1,25,3,1,3
1,26,1,1,1
1,27,1,1,1
1,28,7,3,2
1,29,504,1,504
1,30,776,6,129
1,31,705,1,705
1,32,566,1,566
1,33,14,1,14
1,34,4,1,4
1,35,2,1,2
1,36,3,2,2
1,37,6,1,6
1,38,6,5,1
1,39,2,1,2
1,40,312,3,104
1,41,4790,17,282
1,42,2,1,2
1,43,1,1,1
1,44,618,1,618
1,45,1,1,1
1,46,1,1,1
1,47,1,1,1
1,48,1,1,1
1,49,3,1,3
1,50,1,1,1
1,51,1,1,1
1,52,1,1,1
1,53,1,1,1
1,54,2,1,2
1,55,1,1,1
1,56,1,1,1
1,57,5,2,3
1,58,11,4,3
1,59,2,1,2
1,60,393,2,197
1,61,1,1,1
1,62,23,19,1
1,63,3,2,2
1,64,1,1,1
1,65,816,7,117
1,66,372,2,186
1,67,2918,5,584
1,68,1,1,1
1,69,1,1,1
1,70,1,1,1
1,71,16,1,16
1,72,4620,7,660
1,73,484,1,484
1,74,1893,4,473
1,75,2228,10,223
1,76,330,2,165
1,77,764,4,191
1,78,7141,11,649
1,79,2982,8,373
1,80,3937,3,1312
1,81,4206,3,1402
1,82,1,1,1
1,83,1,1,1
1,84,1933,4,483
1,85,1268,4,317
1,86,4,2,2
1,87,25,4,6
1,88,2,1,2
1,89,1,1,1
1,90,1,1,1
1,91,1,1,1
1,92,3138,2,1569
1,93,1140,1,1140
1,94,9,1,9
1,95,9,2,5
1,96,2,1,2
1,97,3,1,3
1,98,1,1,1
1,99,2,2,1
1,100,966,2,483
1,101,2459,2,1230
1,102,1,1,1
1,103,1145,2,573
1,104,153,1,153
1,105,2444,3,815
1,106,2983,5,597
1,107,71,1,71
1,108,1426,9,158
1,109,4792,7,685
1,110,813,1,813
1,111,1098,1,1098
1,112,2655,3,885
1,113,3815,6,636
1,114,2194,1,2194
1,115,2308,2,1154
1,116,3201,3,1067
1,117,3030,4,758
1,118,4169,3,1390
1,119,1305,11,119
1,120,731,1,731
1,121,539,3,180
1,122,1025,8,128
1,123,4057,5,811
1,124,3472,5,694
1,125,5229,2,2615
1,126,942,8,118
1,127,1689,1,1689
1,128,1364,10,136
1,129,1242,1,1242
1,130,970,1,970
1,131,1666,2,833
1,132,570,2,285
1,133,1,1,1
1,134,1,1,1
1,135,1,1,1
1,136,3,2,2
